#go-basic.obo: fmt(1.2) rel(2018-09-19) 47,343 GO Terms
#Study: 441 vs. Population 38747
#
#44 GO IDs in assc. are not found in the GO-DAG: GO:0030806 GO:0001153 GO:0001152 GO:1904720 GO:0001076 GO:0004871 GO:0030820 GO:0031658 GO:0030817 GO:0001191 GO:0001190 GO:0030818 GO:0030819 GO:0030816 GO:0005057 GO:0030814 GO:0030815 GO:0004716 GO:0001087 GO:0000989 GO:0000988 GO:0001026 GO:1904722 GO:0035625 GO:0001007 GO:0006987 GO:0009400 GO:0001129 GO:0030827 GO:0001084 GO:0030825 GO:0030823 GO:0030969 GO:0030804 GO:0030807 GO:0001082 GO:0030803 GO:0030828 GO:0090485 GO:0004702 GO:0000990 GO:0000991 GO:0031659 GO:0098811
# 47% 18,283 of 38,747 population items found in association
# 53%    235 of    441 study items found in association
#100%    441 of    441 study items found in population(38747)
#Calculating 19,793 uncorrected p-values using fisher
#  19,793 GO terms are associated with 18,283 of 38,747 population items
#   4,015 GO terms are associated with    235 of    441 study items
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local bonferroni
#      10 GO terms found significant (< 0.05=alpha) after multitest correction: local sidak
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local holm
#      95 GO terms found significant (< 0.05=alpha) after multitest correction: statsmodels fdr_bh
#  1,075 of 19,793 results have uncorrected P-values <= 0.05=pval
#
# Generated by GOATOOLS v0.8.12 (2019-08-09)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
...GO:0016441	BP	e	posttranscriptional gene silencing	6/441	39/38747	4.99e-06	8	6	0.0987	0.0962	0.0987	0.00658	t35488aep, t35573aep, t38672aep, t38673aep, t5914aep, t8582aep
...GO:0048437	BP	e	floral organ development      	3/441	4/38747	5.81e-06	4	3	0.115	0.112	0.115	0.00719	t35573aep, t38672aep, t38673aep
....GO:0099643	BP	e	signal release from synapse   	8/441	88/38747	7.67e-06	7	8	0.152	0.148	0.152	0.00893	t13546aep, t13547aep, t17803aep, t18683aep, t24938aep, t31838aep, t37405aep, t9936aep
...GO:0098542	BP	e	defense response to other organism	15/441	348/38747	1.32e-05	5	15	0.261	0.255	0.261	0.0127	t11117aep, t22133aep, t24687aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t5914aep, t6387aep, t8582aep, t8645aep
...GO:0023061	BP	e	signal release                	9/441	124/38747	1.32e-05	6	9	0.262	0.255	0.261	0.0127	t13546aep, t13547aep, t17803aep, t18683aep, t24938aep, t29103aep, t31838aep, t37405aep, t9936aep
.....GO:0097479	BP	e	synaptic vesicle localization 	7/441	69/38747	1.39e-05	5	7	0.274	0.267	0.274	0.0127	t17803aep, t18683aep, t24938aep, t31838aep, t37405aep, t38653aep, t9936aep
...GO:0043900	BP	e	regulation of multi-organism process	17/441	439/38747	1.43e-05	3	17	0.284	0.277	0.284	0.0127	t16424aep, t17178aep, t18960aep, t22133aep, t24687aep, t28521aep, t32280aep, t32984aep, t34424aep, t35146aep, t35488aep, t35608aep, t35837aep, t6387aep, t8582aep, t8645aep, t8946aep
.....GO:0016079	BP	e	synaptic vesicle exocytosis   	5/441	28/38747	1.48e-05	9	5	0.293	0.285	0.292	0.0127	t17803aep, t18683aep, t31838aep, t37405aep, t9936aep
....GO:0098586	BP	e	cellular response to virus    	5/441	29/38747	1.77e-05	6	5	0.35	0.341	0.35	0.0144	t16424aep, t22133aep, t35573aep, t38672aep, t38673aep
.....GO:0097480	BP	e	establishment of synaptic vesicle localization	7/441	73/38747	2.01e-05	6	7	0.398	0.388	0.398	0.0144	t17803aep, t18683aep, t24938aep, t31838aep, t37405aep, t38653aep, t9936aep
....GO:0009751	BP	e	response to salicylic acid    	5/441	30/38747	2.1e-05	5	5	0.416	0.406	0.416	0.0144	t18960aep, t35573aep, t38672aep, t38673aep, t5914aep
.....GO:0001819	BP	e	positive regulation of cytokine production	9/441	132/38747	2.18e-05	5	9	0.432	0.421	0.431	0.0144	t16424aep, t21682aep, t22133aep, t24181aep, t24687aep, t34424aep, t35608aep, t6387aep, t8645aep
....GO:0002831	BP	e	regulation of response to biotic stimulus	8/441	103/38747	2.45e-05	4	8	0.484	0.472	0.483	0.0154	t16424aep, t17178aep, t22133aep, t24687aep, t34424aep, t35608aep, t35837aep, t8645aep
.....GO:0002833	BP	e	positive regulation of response to biotic stimulus	5/441	31/38747	2.49e-05	5	5	0.492	0.48	0.491	0.0154	t22133aep, t24687aep, t34424aep, t35608aep, t35837aep
.....GO:0060148	BP	e	positive regulation of posttranscriptional gene silencing	4/441	16/38747	2.7e-05	8	4	0.535	0.522	0.534	0.0162	t35488aep, t35573aep, t38672aep, t38673aep
..GO:0008219	BP	e	cell death                    	18/441	524/38747	3.93e-05	2	18	0.778	0.758	0.777	0.0222	t10518aep, t13546aep, t13547aep, t13899aep, t14055aep, t16182aep, t17178aep, t19259aep, t20542aep, t22133aep, t32984aep, t33020aep, t36337aep, t3924aep, t5403aep, t7281aep, t8645aep, t9936aep
...GO:0050808	BP	e	synapse organization          	10/441	178/38747	4.1e-05	3	10	0.812	0.792	0.811	0.0226	t17803aep, t2368aep, t24687aep, t24938aep, t29490aep, t32984aep, t34424aep, t35488aep, t37004aep, t9936aep
.....GO:0050807	BP	e	regulation of synapse organization	10/441	179/38747	4.3e-05	5	10	0.852	0.83	0.85	0.0228	t18683aep, t19259aep, t2368aep, t24687aep, t24938aep, t32984aep, t34385aep, t34424aep, t34609aep, t8946aep
....GO:0022617	BP	e	extracellular matrix disassembly	5/441	35/38747	4.57e-05	5	5	0.905	0.883	0.904	0.0228	t12198aep, t21013aep, t24687aep, t34424aep, t7388aep
...GO:0032879	BP	e	regulation of localization    	42/441	1891/38747	4.71e-05	3	42	0.933	0.909	0.931	0.0228	t10028aep, t11695aep, t12198aep, t13511aep, t13546aep, t13547aep, t14664aep, t16424aep, t17178aep, t17803aep, t18338aep, t18960aep, t19587aep, t203aep, t20542aep, t21682aep, t22133aep, t24687aep, t2479aep, t24938aep, t25020aep, t28512aep, t29103aep, t2978aep, t30358aep, t31838aep, t32280aep, t32984aep, t33020aep, t34385aep, t34424aep, t35146aep, t35488aep, t36337aep, t36613aep, t38653aep, t526aep, t527aep, t6387aep, t6933aep, t7326aep, t9936aep
...GO:0021679	BP	e	cerebellar molecular layer development	3/441	7/38747	4.95e-05	3	3	0.981	0.956	0.979	0.0228	t17803aep, t24938aep, t9936aep
.....GO:0052018	BP	e	modulation by symbiont of RNA levels in host	3/441	7/38747	4.95e-05	6	3	0.981	0.956	0.979	0.0228	t35573aep, t38672aep, t38673aep
....GO:0021750	BP	e	vestibular nucleus development	3/441	7/38747	4.95e-05	4	3	0.981	0.956	0.979	0.0228	t17803aep, t24938aep, t9936aep
.....GO:0052249	BP	e	modulation of RNA levels in other organism involved in symbiotic interaction	3/441	7/38747	4.95e-05	5	3	0.981	0.956	0.979	0.0228	t35573aep, t38672aep, t38673aep
.....GO:0120039	BP	e	plasma membrane bounded cell projection morphogenesis	13/441	304/38747	5.34e-05	6	13	1	1	1	0.024	t14055aep, t17803aep, t20542aep, t24687aep, t24938aep, t32984aep, t33020aep, t34424aep, t37004aep, t38432aep, t8582aep, t8946aep, t9936aep
....GO:0048858	BP	e	cell projection morphogenesis 	13/441	306/38747	5.71e-05	5	13	1	1	1	0.0251	t14055aep, t17803aep, t20542aep, t24687aep, t24938aep, t32984aep, t33020aep, t34424aep, t37004aep, t38432aep, t8582aep, t8946aep, t9936aep
.....GO:0042035	BP	e	regulation of cytokine biosynthetic process	5/441	37/38747	6.03e-05	6	5	1	1	1	0.0259	t21682aep, t22133aep, t24687aep, t34424aep, t8645aep
.....GO:0046885	BP	e	regulation of hormone biosynthetic process	4/441	20/38747	6.94e-05	6	4	1	1	1	0.028	t17803aep, t24938aep, t35837aep, t9936aep
...GO:0009615	BP	e	response to virus             	10/441	191/38747	7.42e-05	5	10	1	1	1	0.0288	t11117aep, t16424aep, t22133aep, t35573aep, t35608aep, t38672aep, t38673aep, t6387aep, t8582aep, t8645aep
......GO:0060024	BP	e	rhythmic synaptic transmission	3/441	8/38747	7.86e-05	7	3	1	1	1	0.0288	t17803aep, t24938aep, t9936aep
.....GO:0097503	BP	e	sialylation                   	3/441	8/38747	7.86e-05	5	3	1	1	1	0.0288	t29674aep, t30176aep, t33022aep
......GO:0031335	BP	e	regulation of sulfur amino acid metabolic process	3/441	8/38747	7.86e-05	7	3	1	1	1	0.0288	t17803aep, t24938aep, t9936aep
....GO:0006040	BP	e	amino sugar metabolic process 	16/441	458/38747	8.6e-05	4	16	1	1	1	0.031	t11117aep, t2654aep, t29490aep, t29612aep, t31117aep, t31144aep, t33020aep, t33227aep, t33764aep, t34385aep, t34609aep, t35271aep, t36169aep, t37043aep, t38611aep, t5520aep
......GO:0016525	BP	e	negative regulation of angiogenesis	8/441	125/38747	9.74e-05	8	8	1	1	1	0.0332	t21682aep, t2368aep, t24687aep, t33020aep, t34385aep, t34424aep, t34609aep, t35271aep
....GO:0006030	BP	e	chitin metabolic process      	15/441	415/38747	9.79e-05	6	15	1	1	1	0.0332	t11117aep, t2654aep, t29612aep, t31117aep, t31144aep, t33020aep, t33227aep, t33764aep, t34385aep, t34609aep, t35271aep, t36169aep, t37043aep, t38611aep, t5520aep
.....GO:0031644	BP	e	regulation of neurological system process	6/441	65/38747	9.84e-05	5	6	1	1	1	0.0332	t24687aep, t32984aep, t34424aep, t35488aep, t527aep, t8582aep
..GO:0009605	BP	e	response to external stimulus 	33/441	1409/38747	9.89e-05	2	33	1	1	1	0.0332	t11117aep, t12198aep, t14055aep, t16424aep, t17803aep, t18338aep, t18960aep, t19405aep, t20542aep, t21682aep, t22133aep, t24246aep, t24687aep, t24938aep, t25020aep, t2978aep, t32984aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t37405aep, t38672aep, t38673aep, t5403aep, t5914aep, t6387aep, t7281aep, t8582aep, t8645aep, t9936aep
.....GO:0052547	BP	e	regulation of peptidase activity	17/441	517/38747	0.000109	7	17	1	1	1	0.034	t12198aep, t17722aep, t17750aep, t19259aep, t21682aep, t22133aep, t2654aep, t31144aep, t3141aep, t3142aep, t34385aep, t34609aep, t36169aep, t36337aep, t37043aep, t5403aep, t7281aep
.....GO:0017156	BP	e	calcium ion regulated exocytosis	5/441	42/38747	0.000112	8	5	1	1	1	0.034	t17803aep, t18683aep, t31838aep, t37405aep, t9936aep
.......GO:0016539	BP	e	intein-mediated protein splicing	5/441	42/38747	0.000112	8	5	1	1	1	0.034	t27839aep, t29674aep, t30176aep, t33022aep, t8142aep
....GO:0051650	BP	e	establishment of vesicle localization	9/441	163/38747	0.000113	5	9	1	1	1	0.034	t17803aep, t18683aep, t24938aep, t29764aep, t31838aep, t37405aep, t38653aep, t7326aep, t9936aep
.....GO:0010025	BP	e	wax biosynthetic process      	3/441	9/38747	0.000117	5	3	1	1	1	0.034	t35573aep, t38672aep, t38673aep
....GO:0050883	BP	e	musculoskeletal movement, spinal reflex action	3/441	9/38747	0.000117	4	3	1	1	1	0.034	t17803aep, t24938aep, t9936aep
....GO:0010166	BP	e	wax metabolic process         	3/441	9/38747	0.000117	4	3	1	1	1	0.034	t35573aep, t38672aep, t38673aep
.......GO:0030644	BP	e	cellular chloride ion homeostasis	3/441	9/38747	0.000117	9	3	1	1	1	0.034	t17803aep, t24938aep, t9936aep
......GO:0014051	BP	e	gamma-aminobutyric acid secretion	3/441	9/38747	0.000117	10	3	1	1	1	0.034	t17803aep, t24938aep, t9936aep
.....GO:0042762	BP	e	regulation of sulfur metabolic process	4/441	23/38747	0.000123	5	4	1	1	1	0.0354	t17803aep, t24938aep, t35837aep, t9936aep
.......GO:0045079	BP	e	negative regulation of chemokine biosynthetic process	2/441	2/38747	0.000129	8	2	1	1	1	0.0355	t24687aep, t34424aep
....GO:0045035	BP	e	sensory organ precursor cell division	2/441	2/38747	0.000129	4	2	1	1	1	0.0355	t11695aep, t22133aep
.....GO:0010590	BP	e	regulation of septum digestion after cytokinesis	2/441	2/38747	0.000129	5	2	1	1	1	0.0355	t30358aep, t7326aep
....GO:0006022	BP	e	aminoglycan metabolic process 	17/441	528/38747	0.000139	4	17	1	1	1	0.0366	t11117aep, t17750aep, t2654aep, t29612aep, t29730aep, t31117aep, t31144aep, t33020aep, t33227aep, t33764aep, t34385aep, t34609aep, t35271aep, t36169aep, t37043aep, t38611aep, t5520aep
..GO:0051707	BP	e	response to other organism    	17/441	528/38747	0.000139	4	17	1	1	1	0.0366	t11117aep, t14055aep, t16424aep, t22133aep, t24687aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t5914aep, t6387aep, t8582aep, t8645aep
......GO:0030908	BP	e	protein splicing              	5/441	44/38747	0.000141	7	5	1	1	1	0.0366	t27839aep, t29674aep, t30176aep, t33022aep, t8142aep
.....GO:1900426	BP	e	positive regulation of defense response to bacterium	3/441	10/38747	0.000166	7	3	1	1	1	0.0425	t24687aep, t34424aep, t35837aep
.....GO:1901071	BP	e	glucosamine-containing compound metabolic process	15/441	436/38747	0.000168	5	15	1	1	1	0.0425	t11117aep, t2654aep, t29612aep, t31117aep, t31144aep, t33020aep, t33227aep, t33764aep, t34385aep, t34609aep, t35271aep, t36169aep, t37043aep, t38611aep, t5520aep
......GO:2000050	BP	e	regulation of non-canonical Wnt signaling pathway	4/441	25/38747	0.000173	7	4	1	1	1	0.0425	t29674aep, t30176aep, t33022aep, t8142aep
...GO:0048519	BP	e	negative regulation of biological process	67/441	3728/38747	0.000173	3	67	1	1	1	0.0425	t11695aep, t12198aep, t13546aep, t13547aep, t14055aep, t16424aep, t16778aep, t17178aep, t17722aep, t17750aep, t17803aep, t18338aep, t18960aep, t19259aep, t19405aep, t19587aep, t203aep, t20542aep, t20662aep, t21682aep, t22133aep, t2368aep, t24687aep, t24938aep, t25020aep, t2654aep, t26740aep, t26772aep, t27033aep, t28521aep, t29674aep, t2978aep, t30176aep, t31144aep, t3141aep, t3142aep, t32280aep, t32984aep, t33020aep, t33022aep, t34385aep, t34424aep, t34609aep, t35271aep, t35488aep, t35573aep, t35837aep, t36169aep, t36337aep, t37043aep, t38653aep, t38672aep, t38673aep, t3924aep, t4924aep, t5403aep, t5914aep, t6387aep, t7281aep, t7326aep, t7388aep, t8142aep, t8490aep, t8582aep, t8645aep, t8946aep, t9936aep
.GO:0002376	BP	e	immune system process         	30/441	1243/38747	0.000174	1	30	1	1	1	0.0425	t11117aep, t12198aep, t16424aep, t17178aep, t17803aep, t17956aep, t18960aep, t203aep, t20542aep, t21682aep, t22133aep, t24181aep, t24687aep, t2654aep, t31838aep, t33020aep, t34385aep, t34424aep, t34475aep, t35488aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t6387aep, t7326aep, t8582aep, t8645aep, t8946aep
....GO:0032990	BP	e	cell part morphogenesis       	13/441	344/38747	0.000183	4	13	1	1	1	0.0433	t14055aep, t17803aep, t20542aep, t24687aep, t24938aep, t32984aep, t33020aep, t34424aep, t37004aep, t38432aep, t8582aep, t8946aep, t9936aep
.....GO:2000181	BP	e	negative regulation of blood vessel morphogenesis	8/441	137/38747	0.000184	7	8	1	1	1	0.0433	t21682aep, t2368aep, t24687aep, t33020aep, t34385aep, t34424aep, t34609aep, t35271aep
....GO:0001508	BP	e	action potential              	5/441	47/38747	0.000193	4	5	1	1	1	0.0445	t17803aep, t24938aep, t526aep, t527aep, t9936aep
....GO:0051049	BP	e	regulation of transport       	30/441	1263/38747	0.000197	4	30	1	1	1	0.0447	t11695aep, t12198aep, t13511aep, t14664aep, t17178aep, t17803aep, t18338aep, t18960aep, t19587aep, t203aep, t20542aep, t21682aep, t24687aep, t2479aep, t24938aep, t25020aep, t28512aep, t29103aep, t2978aep, t30358aep, t31838aep, t32280aep, t32984aep, t34424aep, t36337aep, t36613aep, t526aep, t527aep, t6387aep, t9936aep
......GO:0048812	BP	e	neuron projection morphogenesis	9/441	177/38747	0.00021	7	9	1	1	1	0.0469	t14055aep, t17803aep, t20542aep, t24687aep, t32984aep, t34424aep, t37004aep, t8582aep, t9936aep
....GO:0043902	BP	e	positive regulation of multi-organism process	10/441	217/38747	0.000211	4	10	1	1	1	0.0469	t18960aep, t22133aep, t24687aep, t28521aep, t32280aep, t34424aep, t35146aep, t35488aep, t35608aep, t35837aep
.....GO:1901343	BP	e	negative regulation of vasculature development	8/441	141/38747	0.000224	6	8	1	1	1	0.047	t21682aep, t2368aep, t24687aep, t33020aep, t34385aep, t34424aep, t34609aep, t35271aep
.....GO:0015812	BP	e	gamma-aminobutyric acid transport	3/441	11/38747	0.000226	9	3	1	1	1	0.047	t17803aep, t24938aep, t9936aep
......GO:0010248	BP	e	establishment or maintenance of transmembrane electrochemical gradient	4/441	28/38747	0.000273	6	4	1	1	1	0.0554	t29612aep, t33764aep, t35271aep, t5520aep
.....GO:0031347	BP	e	regulation of defense response	14/441	407/38747	0.000275	5	14	1	1	1	0.0554	t16424aep, t17178aep, t18960aep, t19259aep, t22133aep, t24181aep, t24687aep, t34424aep, t34475aep, t35608aep, t35837aep, t6387aep, t8582aep, t8645aep
....GO:0001817	BP	e	regulation of cytokine production	11/441	268/38747	0.000281	4	11	1	1	1	0.0562	t16424aep, t17178aep, t21682aep, t22133aep, t24181aep, t24687aep, t32984aep, t34424aep, t35608aep, t6387aep, t8645aep
....GO:0007214	BP	e	gamma-aminobutyric acid signaling pathway	3/441	12/38747	0.000298	6	3	1	1	1	0.0565	t17803aep, t24938aep, t9936aep
....GO:0021533	BP	e	cell differentiation in hindbrain	3/441	12/38747	0.000298	4	3	1	1	1	0.0565	t17803aep, t24938aep, t9936aep
.....GO:0021702	BP	e	cerebellar Purkinje cell differentiation	3/441	12/38747	0.000298	6	3	1	1	1	0.0565	t17803aep, t24938aep, t9936aep
.......GO:0007270	BP	e	neuron-neuron synaptic transmission	3/441	12/38747	0.000298	8	3	1	1	1	0.0565	t17803aep, t24938aep, t9936aep
......GO:0032353	BP	e	negative regulation of hormone biosynthetic process	3/441	12/38747	0.000298	7	3	1	1	1	0.0565	t17803aep, t24938aep, t9936aep
....GO:0051648	BP	e	vesicle localization          	9/441	186/38747	0.000303	4	9	1	1	1	0.0565	t17803aep, t18683aep, t24938aep, t29764aep, t31838aep, t37405aep, t38653aep, t7326aep, t9936aep
.......GO:0001172	BP	e	transcription, RNA-templated  	6/441	80/38747	0.00031	9	6	1	1	1	0.0565	t25651aep, t26740aep, t35573aep, t38672aep, t38673aep, t5914aep
.....GO:0051588	BP	e	regulation of neurotransmitter transport	6/441	80/38747	0.00031	5	6	1	1	1	0.0565	t17803aep, t24938aep, t31838aep, t32280aep, t32984aep, t9936aep
.....GO:0021522	BP	e	spinal cord motor neuron differentiation	4/441	29/38747	0.000314	6	4	1	1	1	0.0565	t17803aep, t24938aep, t8582aep, t9936aep
....GO:0032350	BP	e	regulation of hormone metabolic process	4/441	29/38747	0.000314	4	4	1	1	1	0.0565	t17803aep, t24938aep, t35837aep, t9936aep
........GO:0070588	BP	e	calcium ion transmembrane transport	10/441	229/38747	0.000324	9	10	1	1	1	0.0578	t17803aep, t18338aep, t203aep, t24938aep, t25020aep, t3282aep, t36613aep, t526aep, t527aep, t9936aep
.....GO:0086010	BP	e	membrane depolarization during action potential	4/441	30/38747	0.000359	5	4	1	1	1	0.0586	t18338aep, t25020aep, t526aep, t527aep
....GO:0051817	BP	e	modification of morphology or physiology of other organism involved in symbiotic interaction	6/441	83/38747	0.000379	4	6	1	1	1	0.0586	t24687aep, t34424aep, t34475aep, t35573aep, t38672aep, t38673aep
........GO:0055064	BP	e	chloride ion homeostasis      	3/441	13/38747	0.000385	8	3	1	1	1	0.0586	t17803aep, t24938aep, t9936aep
.....GO:0032351	BP	e	negative regulation of hormone metabolic process	3/441	13/38747	0.000385	5	3	1	1	1	0.0586	t17803aep, t24938aep, t9936aep
....GO:0051852	BP	e	disruption by host of symbiont cells	2/441	3/38747	0.000385	6	2	1	1	1	0.0586	t24687aep, t34424aep
.....GO:0033028	BP	e	myeloid cell apoptotic process	2/441	3/38747	0.000385	5	2	1	1	1	0.0586	t13546aep, t13547aep
.......GO:0045416	BP	e	positive regulation of interleukin-8 biosynthetic process	2/441	3/38747	0.000385	8	2	1	1	1	0.0586	t24687aep, t34424aep
.....GO:0003417	BP	e	growth plate cartilage development	2/441	3/38747	0.000385	6	2	1	1	1	0.0586	t21682aep, t33020aep
....GO:0002438	BP	e	acute inflammatory response to antigenic stimulus	2/441	3/38747	0.000385	6	2	1	1	1	0.0586	t24687aep, t34424aep
....GO:0061389	BP	e	regulation of direction of cell growth	2/441	3/38747	0.000385	7	2	1	1	1	0.0586	t13546aep, t13547aep
....GO:0051873	BP	e	killing by host of symbiont cells	2/441	3/38747	0.000385	7	2	1	1	1	0.0586	t24687aep, t34424aep
....GO:0010492	BP	e	maintenance of shoot apical meristem identity	2/441	3/38747	0.000385	5	2	1	1	1	0.0586	t38672aep, t38673aep
......GO:1902358	BP	e	sulfate transmembrane transport	4/441	31/38747	0.000408	8	4	1	1	1	0.0617	t29674aep, t30176aep, t33022aep, t8142aep
....GO:0006954	BP	e	inflammatory response         	9/441	198/38747	0.000478	4	9	1	1	1	0.0682	t12198aep, t16424aep, t17750aep, t21013aep, t21682aep, t22133aep, t24687aep, t33020aep, t34424aep
....GO:0007269	BP	e	neurotransmitter secretion    	3/441	14/38747	0.000486	8	3	1	1	1	0.0682	t13546aep, t13547aep, t24938aep
......GO:0030320	BP	e	cellular monovalent inorganic anion homeostasis	3/441	14/38747	0.000486	8	3	1	1	1	0.0682	t17803aep, t24938aep, t9936aep
.......GO:0006309	BP	e	apoptotic DNA fragmentation   	3/441	14/38747	0.000486	9	3	1	1	1	0.0682	t11396aep, t30770aep, t8582aep
....GO:0031641	BP	e	regulation of myelination     	3/441	14/38747	0.000486	6	3	1	1	1	0.0682	t24687aep, t34424aep, t8582aep
..GO:0048544	BP	e	recognition of pollen         	3/441	14/38747	0.000486	3	3	1	1	1	0.0682	t35573aep, t38672aep, t38673aep
.....GO:0031349	BP	e	positive regulation of defense response	9/441	199/38747	0.000496	6	9	1	1	1	0.0691	t16424aep, t22133aep, t24181aep, t24687aep, t34424aep, t34475aep, t35608aep, t35837aep, t6387aep
......GO:0010466	BP	e	negative regulation of peptidase activity	12/441	334/38747	0.000503	9	12	1	1	1	0.0691	t12198aep, t17722aep, t17750aep, t21682aep, t31144aep, t3141aep, t3142aep, t34385aep, t34609aep, t36169aep, t36337aep, t37043aep
..GO:0002252	BP	e	immune effector process       	14/441	439/38747	0.000581	2	14	1	1	1	0.0783	t11117aep, t17956aep, t20542aep, t22133aep, t24687aep, t31838aep, t34424aep, t35573aep, t35608aep, t38672aep, t38673aep, t6387aep, t8582aep, t8645aep
....GO:0051240	BP	e	positive regulation of multicellular organismal process	24/441	984/38747	0.000591	4	24	1	1	1	0.0784	t10028aep, t16424aep, t17178aep, t18683aep, t19259aep, t20542aep, t21682aep, t22133aep, t2368aep, t24181aep, t24687aep, t24938aep, t32280aep, t34385aep, t34424aep, t34609aep, t35146aep, t35488aep, t35608aep, t5403aep, t6387aep, t8582aep, t8645aep, t9936aep
